trip_id,stop_id,stop_sequence
1,3,1
1,4,2
1,5,3
2,5,1
2,4,2
2,3,3
3,3,1
3,6,2
4,6,1
4,3,2
5,3,1
5,7,2
6,7,1
6,3,2
7,3,1
7,6,2
8,6,1
8,3,2
9,3,1
9,7,2
10,7,1
10,3,2
11,8,1
11,9,2
11,10,3
11,11,4
11,12,5
11,5,6
12,5,1
12,12,2
12,11,3
12,10,4
12,9,5
12,8,6
13,32,1
13,14,2
13,6,3
14,6,1
14,14,2
14,32,3
15,32,1
15,14,2
15,6,3
16,6,1
16,14,2
16,32,3
17,12,1
17,17,2
17,18,3
17,6,4
18,6,1
18,18,2
18,17,3
18,12,4
21,23,1
21,24,2
22,24,1
22,23,2
23,23,1
23,5,2
24,5,1
24,23,2
25,23,1
25,24,2
26,24,1
26,23,2
27,23,1
27,24,2
28,24,1
28,23,2
29,23,1
29,24,2
30,24,1
30,23,2
31,23,1
31,24,2
32,24,1
32,23,2
33,28,1
33,29,2
33,30,3
33,31,4
33,24,5
34,24,1
34,31,2
34,30,3
34,29,4
34,28,5
35,32,1
35,33,2
35,34,3
35,35,4
35,36,5
35,37,6
35,24,7
36,24,1
36,37,2
36,36,3
36,35,4
36,34,5
36,33,6
36,32,7
37,29,1
37,30,2
37,38,3
37,31,4
37,24,5
38,24,1
38,31,2
38,38,3
38,30,4
38,29,5
39,39,1
39,40,2
39,41,3
39,24,4
40,24,1
40,41,2
40,40,3
40,39,4
41,28,1
41,29,2
41,30,3
41,31,4
41,24,5
42,24,1
42,31,2
42,30,3
42,29,4
42,28,5
43,42,1
43,43,2
43,44,3
43,45,4
43,46,5
43,24,6
44,24,1
44,46,2
44,45,3
44,44,4
44,43,5
44,42,6
45,29,1
45,30,2
45,38,3
45,31,4
45,24,5
46,24,1
46,31,2
46,38,3
46,30,4
46,29,5
47,39,1
47,40,2
47,41,3
47,24,4
48,24,1
48,41,2
48,40,3
48,39,4
49,28,1
49,29,2
49,30,3
49,31,4
49,24,5
50,24,1
50,31,2
50,30,3
50,29,4
50,28,5
51,39,1
51,40,2
51,41,3
51,24,4
52,24,1
52,41,2
52,40,3
52,39,4
53,25,1
53,26,2
53,16,3
53,6,4
54,6,1
54,16,2
54,26,3
54,25,4
55,47,1
55,48,2
55,49,3
55,6,4
56,6,1
56,49,2
56,48,3
56,47,4
57,47,1
57,48,2
57,49,3
57,15,4
57,16,5
58,16,1
58,15,2
58,49,3
58,48,4
58,47,5
59,50,1
59,51,2
59,15,3
59,6,4
60,6,1
60,15,2
60,51,3
60,50,4
61,52,1
61,53,2
61,54,3
61,6,4
62,6,1
62,54,2
62,53,3
62,52,4
63,52,1
63,53,2
63,54,3
63,15,4
63,16,5
64,16,1
64,15,2
64,54,3
64,53,4
64,52,5
65,55,1
65,56,2
65,6,3
66,6,1
66,56,2
66,55,3
67,15,1
67,6,2
68,6,1
68,15,2
69,57,1
69,58,2
69,60,3
70,60,1
70,58,2
70,57,3
71,59,1
71,60,2
72,60,1
72,59,2
73,61,1
73,62,2
73,63,3
73,60,4
74,60,1
74,63,2
74,62,3
74,61,4
75,64,1
75,65,2
75,60,3
76,60,1
76,65,2
76,64,3
77,66,1
77,67,2
77,60,3
78,60,1
78,67,2
78,66,3
79,60,1
79,6,2
80,6,1
80,60,2
81,60,1
81,75,2
82,75,1
82,60,2
83,68,1
83,69,2
83,7,3
84,7,1
84,69,2
84,68,3
85,7,1
85,5,2
86,5,1
86,7,2
87,70,1
87,71,2
87,72,3
87,7,4
88,7,1
88,72,2
88,71,3
88,70,4
89,73,1
89,74,2
89,7,3
90,7,1
90,74,2
90,73,3
91,7,1
91,75,2
92,75,1
92,7,2
93,74,1
93,76,2
93,7,3
94,7,1
94,76,2
94,74,3
95,70,1
95,71,2
95,72,3
95,7,4
96,7,1
96,72,2
96,71,3
96,70,4
97,77,1
97,78,2
97,75,3
98,75,1
98,78,2
98,77,3
99,79,1
99,60,2
100,60,1
100,79,2
101,77,1
101,80,2
101,81,3
101,83,4
101,84,5
101,82,6
102,82,1
102,84,2
102,83,3
102,81,4
102,80,5
102,77,6
103,77,1
103,85,2
104,85,1
104,77,2
105,86,1
105,27,2
105,87,3
105,88,4
105,6,5
106,6,1
106,88,2
106,87,3
106,27,4
106,86,5
107,89,1
107,90,2
107,91,3
107,92,4
107,6,5
108,6,1
108,92,2
108,91,3
108,90,4
108,89,5
109,27,1
109,87,2
109,88,3
109,6,4
110,6,1
110,88,2
110,87,3
110,27,4
111,93,1
111,94,2
111,6,3
112,6,1
112,94,2
112,93,3
113,95,1
113,96,2
113,97,3
113,99,4
113,6,5
114,6,1
114,99,2
114,97,3
114,96,4
114,95,5
115,95,1
115,96,2
115,98,3
115,100,4
115,6,5
116,6,1
116,100,2
116,98,3
116,96,4
116,95,5
117,27,1
117,87,2
117,88,3
117,6,4
118,6,1
118,88,2
118,87,3
118,27,4
119,101,1
119,102,2
119,103,3
119,104,4
119,6,5
120,6,1
120,104,2
120,103,3
120,102,4
120,101,5
121,104,1
121,106,2
121,105,3
121,6,4
122,6,1
122,105,2
122,106,3
122,104,4
123,8,1
123,25,2
123,26,3
123,16,4
123,27,5
123,15,6
124,15,1
124,27,2
124,16,3
124,26,4
124,25,5
124,8,6
125,24,1
125,31,2
125,39,3
125,31,4
125,24,5
