trip_id,route_id,service_id,direction_id
1,DeWitt,1,0
2,DeWitt,1,1
3,DeWitt,2,0
4,DeWitt,2,1
5,DeWitt,3,0
6,DeWitt,3,1
7,DeWitt,4,0
8,DeWitt,4,1
9,DeWitt,5,0
10,DeWitt,5,1
11,Ford,1,0
12,Ford,1,1
13,Ford,2,0
14,Ford,2,1
15,Ford,2,0
16,Ford,2,1
17,Ford,3,0
18,Ford,3,1
21,Iroquois,1,0
22,Iroquois,1,1
23,Iroquois,2,0
24,Iroquois,2,1
25,Iroquois,2,0
26,Iroquois,2,1
27,Iroquois,3,0
28,Iroquois,3,1
29,Iroquois,4,0
30,Iroquois,4,1
31,Iroquois,5,0
32,Iroquois,5,1
33,Kankakee,1,0
34,Kankakee,1,1
35,Kankakee,1,0
36,Kankakee,1,1
37,Kankakee,2,0
38,Kankakee,2,1
39,Kankakee,2,0
40,Kankakee,2,1
41,Kankakee,3,0
42,Kankakee,3,1
43,Kankakee,3,0
44,Kankakee,3,1
45,Kankakee,4,0
46,Kankakee,4,1
47,Kankakee,4,0
48,Kankakee,4,1
49,Kankakee,5,0
50,Kankakee,5,1
51,Kankakee,5,0
52,Kankakee,5,1
53,Livingston,1,0
54,Livingston,1,1
55,Livingston,2,0
56,Livingston,2,1
57,Livingston,2,0
58,Livingston,2,1
59,Livingston,3,0
60,Livingston,3,1
61,Livingston,3,0
62,Livingston,3,1
63,Livingston,3,0
64,Livingston,3,1
65,Livingston,4,0
66,Livingston,4,1
67,Livingston,5,0
68,Livingston,5,1
69,Logan,1,0
70,Logan,1,1
71,Logan,1,0
72,Logan,1,1
73,Logan,2,0
74,Logan,2,1
75,Logan,3,0
76,Logan,3,1
77,Logan,4,0
78,Logan,4,1
79,Logan,5,0
80,Logan,5,1
81,Logan,5,0
82,Logan,5,1
83,Macon,1,0
84,Macon,1,1
85,Macon,1,0
86,Macon,1,1
87,Macon,2,0
88,Macon,2,1
89,Macon,3,0
90,Macon,3,1
91,Macon,3,0
92,Macon,3,1
93,Macon,4,0
94,Macon,4,1
95,Macon,5,0
96,Macon,5,1
97,Mason,1,0
98,Mason,1,1
99,Mason,3,0
100,Mason,3,1
101,Mason,3,0
102,Mason,3,1
103,Mason,5,0
104,Mason,5,1
105,McLean,1,0
106,McLean,1,1
107,McLean,2,0
108,McLean,2,1
109,McLean,3,0
110,McLean,3,1
111,McLean,4,0
112,McLean,4,1
113,McLean,4,0
114,McLean,4,1
115,McLean,4,0
116,McLean,4,1
117,McLean,5,0
118,McLean,5,1
119,McLean,5,0
120,McLean,5,1
121,McLean,5,0
122,McLean,5,1
123,Route 24,6,0
124,Route 24,6,1
125,Kankakee-Momence Limited Stop,6,0
